N,M,rep,CIM_ms,BRUTE_ms,CIM_comps,BRUTE_comps,speedup,mismatches
10,4,3.0276503540974917,0.007958224257542215,0.0041899350299921785,2.2632326929023945,0.0,0.08571667597276497,0.0
10,7,3.0276503540974917,0.009582391258043173,0.010033831659828553,1.8135294011647258,0.0,0.1218123469654195,0.0
10,13,3.0276503540974917,0.0062396581102920476,0.004853406592853678,1.1595018087284057,0.0,0.0423803358422172,0.0
200,4,3.0276503540974917,0.27368725054541926,0.1529501007954337,60.4479574142548,0.0,0.15632628036945165,0.0
200,7,3.0276503540974917,0.30048656838164634,0.08384569160070186,36.96860529933174,0.0,0.2547593515454782,0.0
200,13,3.0276503540974917,0.4013788041793492,0.056425073228919126,17.15808847162177,0.0,0.32683048760407657,0.0
500,4,3.0276503540974917,0.6985803143200897,2.1654738357535828,54.207420566234006,0.0,0.25117842768610354,0.0
500,7,3.0276503540974917,0.8396667592960119,1.612871287142557,37.8566007747949,0.0,0.40516766537042603,0.0
500,13,3.0276503540974917,0.9994645288575499,21.48382719499588,18.944656238633396,0.0,4.400794153312134,0.0
1000,4,3.0276503540974917,0.5261851068461239,0.6707200442642055,36.842155806148696,0.0,0.055055074815628484,0.0
1000,7,3.0276503540974917,2.9147276221134475,4.3781048106838805,21.586003695812263,0.0,0.4250561437948657,0.0
1000,13,3.0276503540974917,0.11242558032365736,0.5155375188415804,20.06351027224437,0.0,0.09064393261589379,0.0
2000,4,3.0276503540974917,3.012378786865217,2.8475625912543365,425.4639820243381,0.0,0.14275362367979147,0.0
2000,7,3.0276503540974917,2.1037180551479695,2.7587640227705834,301.4440062248524,0.0,0.2400697910956492,0.0
2000,13,3.0276503540974917,4.322410779234715,2.641529683093996,135.37310581418265,0.0,0.4140617698242917,0.0
